taxonomy_id,campaign_name_canonical,funnel_stage,product,objective,platform_primary
id-2026000001,pmax_awareness_cacaushow_2026,awareness,cacaushow,branding,google_pmax
id-2026000002,pmax_awareness_kopenhagen_2026,awareness,kopenhagen,branding,google_pmax
id-2026000003,pmax_awareness_harald_2026,awareness,harald,branding,google_pmax
id-2026000004,pmax_remarketing_cacaushow_2026,conversao,cacaushow,remarketing,google_pmax
id-2026000005,search_brand_cacaushow_2026,consideracao,cacaushow,traffic,google_ads
id-2026000006,search_brand_kopenhagen_2026,consideracao,kopenhagen,traffic,google_ads
id-2026000007,search_brand_harald_2026,consideracao,harald,traffic,google_ads
id-2026000008,search_generic_chocolates_2026,conversao,multi,traffic,google_ads
id-2026000009,youtube_awareness_cacaushow_2026,awareness,cacaushow,branding,google_ads
id-2026000010,shopping_cacaushow_conversao_2026,conversao,cacaushow,conversao,google_shopping
id-2026000011,shopping_kopenhagen_conversao_2026,conversao,kopenhagen,conversao,google_shopping
id-2026000012,shopping_harald_conversao_2026,conversao,harald,conversao,google_shopping
id-2026000016,awareness_branding_cacaushow_2026,awareness,cacaushow,branding,meta_ads
id-2026000017,awareness_branding_kopenhagen_2026,awareness,kopenhagen,branding,meta_ads
id-2026000018,awareness_branding_harald_2026,awareness,harald,branding,meta_ads
id-2026000019,consideration_traffic_cacaushow_2026,consideracao,cacaushow,traffic,meta_ads
id-2026000020,conversion_purchase_cacaushow_2026,conversao,cacaushow,conversao,meta_ads
id-2026000021,conversion_purchase_kopenhagen_2026,conversao,kopenhagen,conversao,meta_ads
id-2026000022,dv360_awareness_cacaushow_2026,awareness,cacaushow,branding,dv360
id-2026000023,dv360_awareness_kopenhagen_2026,awareness,kopenhagen,branding,dv360
id-2026000024,dv360_awareness_harald_2026,awareness,harald,branding,dv360
